stock,url,created,suositus,analyytikko
eezy,yritysostovetoista-kasvua,2018-12-18 22:31:00,vähennä,Petri Gostowski
kotipizza-group,tulos-sivuroolissa-ostotarjouksen-ollessa-kaynnissa,2018-12-19 21:06:00,pidä,Petri Kajaani
teleste,syklin-taitetta-odotellessa,2018-12-20 07:40:00,lisää,"Atte Riikola,Mikael Rautanen"
srv,kalustokauppa-ei-muuta-isoa-kuvaa,2018-12-20 08:50:00,lisää,
scanfil,arvo-hintaa-korkeampi,2018-12-21 07:17:00,osta,Antti Viljakainen
aspocomp,tulosvaroitus-tukee-myos-nakymia,2018-12-21 08:14:00,lisää,
etteplan,heikkenevaa-markkinaa-jo-hinnoiteltu-osakkeeseen,2019-01-01 21:54:00,lisää,
stockmann,seurannan-lopetus-0,2019-01-03 19:47:00,-,Sauli Vilen
tecnotree,tecnotreen-seuranta-paattyy,2019-01-07 09:08:00,-,Mikael Rautanen
lehto-group,riskit-suuret-arvostukseen-nahden,2019-01-09 08:04:00,vähennä,
qt,edessa-skaalautuvaa-kasvua,2019-01-09 08:29:00,osta,Mikael Rautanen
fiskars-group,ikoninen-brandiportfolio-houkuttelevalla-hinnalla,2019-01-13 21:20:00,lisää,Petri Kajaani
srv,arvostus-ei-tuo-enaa-riittavaa-turvaa-riskeilta,2019-01-15 08:14:00,vähennä,
suominen,more-evidence-profit-turnaround-required,2019-02-01 09:18:00,reduce,Antti Viljakainen
yit,yit-q4-suhdanteen-huipputulos-jo-hinnassa,2019-02-04 07:28:00,vähennä,
leaddesk,leaddesk-vahva-saas-kasvutarina,2019-02-04 08:28:00,,"Mikael Rautanen,Petri Aho"
leaddesk,leaddesk-seurannan-aloitus-vahva-saas-kasvutarina,2019-02-18 08:33:00,lisää,"Mikael Rautanen,Petri Aho"
ponsse,hyvaa-kehitysta-mutta-tayteen-hintaan,2019-02-20 08:07:00,vähennä,Erkki Vesola
afarak-group,issues-ferroalloys-were-severe,2019-02-25 08:51:00,-,Petri Gostowski
ssab-b,vahvassa-iskussa-tiukentuvaan-markkinaan,2019-02-26 19:36:00,lisää,Petri Gostowski
eq,osakkeen-riskitaso-laskenut-selvasti,2019-02-27 20:50:00,lisää,Sauli Vilen
caverion,matka-vakaaksi-palveluyhtioksi-alkamassa,2019-03-04 08:20:00,lisää,"Olli Koponen,Petri Aho"
etteplan,myimme-etteplanin-osakkeet,2019-03-05 15:25:00,,"Juha Kinnunen,Sauli Vilen,Mikael Rautanen"
kamux,matalan-arvostuksen-kasvuyhtio-kamux-mallisalkkuun,2019-03-06 10:03:00,,"Juha Kinnunen,Sauli Vilen,Mikael Rautanen"
ovaro-kiinteistosijoitus,passiivisesta-rahastosta-kiinteistoliiketoimintaan,2019-03-09 17:40:00,lisää,Jesse Kinnunen
ssh,jalleenrakennustyo-hyvassa-vauhdissa,2019-03-11 07:50:00,myy,"Atte Riikola,Mikael Rautanen"
aallon-group,sijoitustutkimus-aallon-group,2019-03-21 08:30:00,,"Juha Kinnunen,Atte Riikola"
